YEAR,PERIODE,AIRCRAFT TYPE,FLIGHT NUMBER_CITYPAIR,SERVICE TYPE,SUB-SERVICE,ROUNDTRIPROUTE,FLIGHT ROUTE,AC REG,Region,QUARTER,GA Service,AIRCRAFT TYPE GROUPING
,,,GA0712.CGK-SYD.[CGK-CGK],,,,,,,,,
,,,GA0713.SYD-CGK.[SYD-SYD],,,,,,,,,
,,,GA0833.SIN-CGK.[SIN-SIN],,,,,,,,,
,,,GA0416.CGK-DPS.[CGK-CGK],,,,,,,,,
,,,GA0647.AMQ-CGK.[AMQ-AMQ],,,,,,,,,
,,,GA0190.CGK-MES.[CGK-CGK],,,,,,,,,
,,,GA0532.CGK-BDJ.[BPN-BDJ],,,,,,,,,
,,,GA0532.CGK-BDJ.[CGK-BPN],,,,,,,,,
,,,GA1364.CGK-PGK.[CGK-PGK],,,,,,,,,
,,,GA2904.CGK-MLG.[CGK-MLG],,,,,,,,,
,,,GA1834.MES-CGK.[MES-CGK],,,,,,,,,
,,,GA1484.CGK-PDG.[CGK-PDG],,,,,,,,,
,,,GA6044.UPG-KDI.[UPG-KDI],,,,,,,,,
,,,GA1897.MES-CGK.[MES-CGK],,,,,,,,,
,,,GA6124.CGK-UPG.[CGK-UPG],,,,,,,,,
,,,GA1494.PDG-CGK.[PDG-CGK],,,,,,,,,
,,,GA1904.CGK-MES.[CGK-MES],,,,,,,,,
,,,GA6134.UPG-CGK.[UPG-CGK],,,,,,,,,
,,,GA0560.CGK-BPN.[CGK-BPN],,,,,,,,,
,,,GA1544.CGK-BTH.[CGK-BTH],,,,,,,,,
,,,GA1554.BTH-CGK.[BTH-CGK],,,,,,,,,
,,,GA0563.BPN-CGK.[BPN-CGK],,,,,,,,,
,,,GA2914.MLG-CGK.[MLG-CGK],,,,,,,,,
,,,GA6054.KDI-UPG.[KDI-UPG],,,,,,,,,
,,,GA5634.BPN-CGK.[BPN-CGK],,,,,,,,,
,,,GA4284.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA5134.PNK-CGK.[PNK-CGK],,,,,,,,,
,,,GA5604.CGK-BPN.[CGK-BPN],,,,,,,,,
,,,GA1374.PGK-CGK.[PGK-CGK],,,,,,,,,
,,,GA4114.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA5124.CGK-PNK.[CGK-PNK],,,,,,,,,
,,,GA5034.PNK-CGK.[PNK-CGK],,,,,,,,,
,,,GA1824.CGK-MES.[CGK-MES],,,,,,,,,
,,,GA4047.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA4174.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA2054.YIA-CGK.[YIA-CGK],,,,,,,,,
,,,GA5044.CGK-PNK.[CGK-PNK],,,,,,,,,
,,,GA4104.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA4046.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA2044.CGK-YIA.[CGK-YIA],,,,,,,,,
,,,GA1866.CGK-MES.[CGK-MES],,,,,,,,,
,,,GA4084.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA4294.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA0971.JED-CGK.[JED-CGK],,,,,,,,,
,,,GA0961.MED-JED.[MED-JED],,,,,,,,,
,,,GA0121.MES-CGK.[MES-MES],,,,,,,,,
,,,GA0504.CGK-PNK.[CGK-PLM],,,,,,,,,
,,,GA0504.CGK-PNK.[PLM-PNK],,,,,,,,,
,,,GA0600.CGK-MDC.[CGK-GTO],,,,,,,,,
,,,GA0600.CGK-MDC.[GTO-MDC],,,,,,,,,
,,,GA0643.GTO-UPG-CGK.[BDJ-UPG],,,,,,,,,
,,,GA0643.GTO-UPG-CGK.[GTO-BDJ],,,,,,,,,
,,,GA0682.CGK-SOQ.[AMQ-SOQ],,,,,,,,,
,,,GA0682.CGK-SOQ.[CGK-AMQ],,,,,,,,,
,,,GA0899.CAN-CGK.[CAN-CAN],,,,,,,,,
,,,GA0881.TYO-DPS.[AMI-DPS],,,,,,,,,
,,,GA0881.TYO-DPS.[TYO-AMI],,,,,,,,,
,,,GA0246.CGK-SRG.[CGK-CGK],,,,,,,,,
,,,GA0646.CGK-AMQ.[CGK-UPG],,,,,,,,,
,,,GA0646.CGK-AMQ.[UPG-AMQ],,,,,,,,,
,,,GA0854.SUB-SIN.[SUB-SUB],,,,,,,,,
,,,GA0686.DPS-SOQ.[BIK-SOQ],,,,,,,,,
,,,GA0686.DPS-SOQ.[DPS-BIK],,,,,,,,,
,,,GA5044.CGK-PNK.[BTH-PNK],,,,,,,,,
,,,GA5044.CGK-PNK.[CGK-BTH],,,,,,,,,
,,,GA2084.CGK-YIA.[CGK-YIA],,,,,,,,,
,,,GA0664.CGK-DJJ.[CGK-DJJ],,,,,,,,,
,,,GA0610.CGK-UPG.[CGK-UPG],,,,,,,,,
,,,GA6211.UPG-DPS.[UPG-DPS],,,,,,,,,
,,,GA0651.DJJ-BIK.[DJJ-BIK],,,,,,,,,
,,,GA6866.DPS-SOQ.[DPS-SOQ],,,,,,,,,
,,,GA6877.SOQ-DPS.[SOQ-DPS],,,,,,,,,
,,,GA0202.CGK-YIA.[CGK-YIA],,,,,,,,,
,,,GA0427.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA0203.YIA-CGK.[YIA-CGK],,,,,,,,,
,,,GA0196.CGK-MES.[CGK-MES],,,,,,,,,
,,,GA0659.MKQ-DJJ.[MKQ-DJJ],,,,,,,,,
,,,GA7152.SYD-DPS.[SYD-DPS],,,,,,,,,
,,,GA0611.UPG-CGK.[UPG-CGK],,,,,,,,,
,,,GA0156.CGK-BTH.[CGK-BTH],,,,,,,,,
,,,GA0193.MES-CGK.[MES-CGK],,,,,,,,,
,,,GA5544.CGK-PKY.[CGK-PKY],,,,,,,,,
,,,GA0650.BIK-DJJ.[BIK-DJJ],,,,,,,,,
,,,GA0159.BTH-CGK.[BTH-CGK],,,,,,,,,
,,,GA8334.SIN-CGK.[SIN-CGK],,,,,,,,,
,,,GA6657.DJJ-CGK.[DJJ-CGK],,,,,,,,,
,,,GA0977.MED-JED-CGK.[JED-CGK],,,,,,,,,
,,,GA0977.MED-JED-CGK.[MED-JED],,,,,,,,,
,,,GA0977.MED-JED-CGK.[MED-CGK],,,,,,,,,
,,,GA4024.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA0978.CGK-MED.[CGK-MED],,,,,,,,,
,,,GA2094.YIA-CGK.[YIA-CGK],,,,,,,,,
,,,GA0136.CGK-PGK.[CGK-PLM],,,,,,,,,
,,,GA0136.CGK-PGK.[PLM-PGK],,,,,,,,,
,,,GA0146.CGK-BTJ.[CGK-MES],,,,,,,,,
,,,GA0146.CGK-BTJ.[MES-BTJ],,,,,,,,,
,,,GA0822.CGK-SIN.[CGK-CGK],,,,,,,,,
,,,GA7404.CGK-TKG.[CGK-TKG],,,,,,,,,
,,,GA0163.PDG-CGK.[PDG-CGK],,,,,,,,,
,,,GA0238.CGK-SRG.[CGK-SRG],,,,,,,,,
,,,GA3104.CGK-SUB.[CGK-SUB],,,,,,,,,
,,,GA7504.TKG-CGK.[TKG-CGK],,,,,,,,,
,,,GA0658.DJJ-MKQ.[DJJ-MKQ],,,,,,,,,
,,,GA2254.SOC-CGK.[SOC-CGK],,,,,,,,,
,,,GA0241.SRG-CGK.[SRG-CGK],,,,,,,,,
,,,GA0506.CGK-PNK.[CGK-PNK],,,,,,,,,
,,,GA4334.AMI-CGK.[AMI-CGK],,,,,,,,,
,,,GA0900.CGK-DOH.[CGK-DOH],,,,,,,,,
,,,GA0507.PNK-CGK.[PNK-CGK],,,,,,,,,
,,,GA0960.CGK-MED.[CGK-MED],,,,,,,,,
,,,GA1144.CGK-PLM.[CGK-PLM],,,,,,,,,
,,,GA1624.CGK-PDG.[CGK-PDG],,,,,,,,,
,,,GA0901.DOH-CGK.[DOH-CGK],,,,,,,,,
,,,GA8855.TYO-DPS.[TYO-DPS],,,,,,,,,
,,,GA0618.CGK-UPG.[CGK-UPG],,,,,,,,,
,,,GA0961.MED-CGK.[MED-CGK],,,,,,,,,
,,,GA0150.CGK-BTH.[CGK-BTH],,,,,,,,,
,,,GA0153.BTH-CGK.[BTH-CGK],,,,,,,,,
,,,GA0177.PKU-CGK.[PKU-CGK],,,,,,,,,
,,,GA0627.UPG-DPS.[UPG-DPS],,,,,,,,,
,,,GA2124.CGK-YIA.[CGK-YIA],,,,,,,,,
,,,GA0104.CGK-PLM.[CGK-PLM],,,,,,,,,
,,,GA3154.SUB-CGK.[SUB-CGK],,,,,,,,,
,,,GA0619.UPG-CGK.[UPG-CGK],,,,,,,,,
,,,GA1194.PLM-CGK.[PLM-CGK],,,,,,,,,
,,,GA0109.PLM-CGK.[PLM-CGK],,,,,,,,,
,,,GA0174.CGK-PKU.[CGK-PKU],,,,,,,,,
,,,GA1634.PDG-CGK.[PDG-CGK],,,,,,,,,
,,,GA5644.CGK-BPN.[CGK-BPN],,,,,,,,,
,,,GA3254.SUB-CGK.[SUB-CGK],,,,,,,,,
,,,GA5374.BDJ-CGK.[BDJ-CGK],,,,,,,,,
,,,GA1754.PKU-CGK.[PKU-CGK],,,,,,,,,
,,,GA0162.CGK-PDG.[CGK-PDG],,,,,,,,,
,,,GA6017.MDC-CGK.[MDC-CGK],,,,,,,,,
,,,GA2284.CGK-SOC.[CGK-SOC],,,,,,,,,
,,,GA0436.CGK-AMI.[CGK-AMI],,,,,,,,,
,,,GA0687.SOQ-DPS.[SOQ-DPS],,,,,,,,,
,,,GA4304.CGK-AMI.[CGK-AMI],,,,,,,,,
,,,GA0439.AMI-CGK.[AMI-CGK],,,,,,,,,
,,,GA1826.CGK-MES.[CGK-MES],,,,,,,,,
,,,GA1557.BTH-CGK.[BTH-CGK],,,,,,,,,
,,,GA0143.BTJ-CGK.[BTJ-CGK],,,,,,,,,
,,,GA1264.CGK-DJB.[CGK-DJB],,,,,,,,,
,,,GA2134.YIA-CGK.[YIA-CGK],,,,,,,,,
,,,GA1854.MES-CGK.[MES-CGK],,,,,,,,,
,,,GA5674.BPN-CGK.[BPN-CGK],,,,,,,,,
,,,GA4254.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA2224.CGK-SOC.[CGK-SOC],,,,,,,,,
,,,GA2214.SOC-CGK.[SOC-CGK],,,,,,,,,
,,,GA1574.BTH-CGK.[BTH-CGK],,,,,,,,,
,,,GA0142.CGK-BTJ.[CGK-BTJ],,,,,,,,,
,,,GA5324.CGK-BDJ.[CGK-BDJ],,,,,,,,,
,,,GA1724.CGK-PKU.[CGK-PKU],,,,,,,,,
,,,GA7305.CGK-TKG.[CGK-TKG],,,,,,,,,
,,,GA1524.CGK-BTH.[CGK-BTH],,,,,,,,,
,,,GA4237.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA3204.CGK-SUB.[CGK-SUB],,,,,,,,,
,,,GA5754.BPN-CGK.[BPN-CGK],,,,,,,,,
,,,GA2964.CGK-BKS.[CGK-BKS],,,,,,,,,
,,,GA7304.TKG-CGK.[TKG-CGK],,,,,,,,,
,,,GA4172.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA4106.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA4177.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA4162.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA1744.CGK-PKU.[CGK-PKU],,,,,,,,,
,,,GA1857.MES-CGK.[MES-CGK],,,,,,,,,
,,,GA5724.CGK-BPN.[CGK-BPN],,,,,,,,,
,,,GA7204.CGK-TKG.[CGK-TKG],,,,,,,,,
,,,GA1274.DJB-CGK.[DJB-CGK],,,,,,,,,
,,,GA4204.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA2974.BKS-CGK.[BKS-CGK],,,,,,,,,
,,,GA1674.PDG-CGK.[PDG-CGK],,,,,,,,,
,,,GA5647.CGK-BPN.[CGK-BPN],,,,,,,,,
,,,GA1546.CGK-BTH.[CGK-BTH],,,,,,,,,
,,,GA1621.CGK-PDG.[CGK-PDG],,,,,,,,,
,,,GA0108.CGK-PLM.[CGK-CGK],,,,,,,,,
,,,GA0205.YIA-CGK.[YIA-YIA],,,,,,,,,
,,,GA0208.CGK-YIA.[CGK-CGK],,,,,,,,,
,,,GA0715.SYD-DPS.[SYD-SYD],,,,,,,,,
,,,GA0821.KUL-CGK.[KUL-SRG],,,,,,,,,
,,,GA0821.KUL-CGK.[SRG-CGK],,,,,,,,,
,,,GA0621.UPG-DPS.[UPG-DPS],,,,,,,,,
,,,GA0646.CGK-AMQ.[CGK-SOQ],,,,,,,,,
,,,GA0646.CGK-AMQ.[SOQ-AMQ],,,,,,,,,
,,,GA0114.CGK-PLM.[CGK-CGK],,,,,,,,,
,,,GA0288.CGK-TNJ.[CGK-CGK],,,,,,,,,
,,,GA0560.CGK-BPN.[CGK-CGK],,,,,,,,,
,,,GA1374.CGK-PGK.[CGK-PGK],,,,,,,,,
,,,GA6211.SOQ-UPG-DPS.[SOQ-DPS],,,,,,,,,
,,,GA6211.SOQ-UPG-DPS.[SOQ-UPG],,,,,,,,,
,,,GA6211.SOQ-UPG-DPS.[UPG-DPS],,,,,,,,,
,,,GA0506.CGK-PNK.[CGK-CGK],,,,,,,,,
,,,GA0900.CGK-DOH.[CGK-CGK],,,,,,,,,
,,,GA7064.CGK-TKG.[CGK-TKG],,,,,,,,,
,,,GA0688.MDC-UPG.[MDC-UPG],,,,,,,,,
,,,GA4044.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA4196.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA4154.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA4144.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA6099.UPG-CGK.[UPG-CGK],,,,,,,,,
,,,GA6184.CGK-UPG.[CGK-UPG],,,,,,,,,
,,,GA6164.CGK-UPG.[CGK-UPG],,,,,,,,,
,,,GA6183.UPG-CGK.[UPG-CGK],,,,,,,,,
,,,GA0689.UPG-MDC.[UPG-MDC],,,,,,,,,
,,,GA4014.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA1314.CGK-PGK.[CGK-PGK],,,,,,,,,
,,,GA4194.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA0685.MDC-CGK.[MDC-CGK],,,,,,,,,
,,,GA6212.SOQ-UPG-DPS.[SOQ-DPS],,,,,,,,,
,,,GA6212.SOQ-UPG-DPS.[SOQ-UPG],,,,,,,,,
,,,GA6212.SOQ-UPG-DPS.[UPG-DPS],,,,,,,,,
,,,GA4100.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA4094.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA1014.PLM-CGK.[PLM-CGK],,,,,,,,,
,,,GA4026.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA4076.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA4074.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA4184.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA6822.CGK-SOQ.[CGK-SOQ],,,,,,,,,
,,,GA4244.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA4224.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA1074.PLM-CGK.[PLM-CGK],,,,,,,,,
,,,GA4214.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA4226.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA3284.CGK-SUB.[CGK-SUB],,,,,,,,,
,,,GA3054.SUB-CGK.[SUB-CGK],,,,,,,,,
,,,GA6088.CGK-UPG.[CGK-UPG],,,,,,,,,
,,,GA0089.AMS-CGK.[AMS-AMS],,,,,,,,,
,,,GA0164.CGK-PDG.[CGK-MES],,,,,,,,,
,,,GA0164.CGK-PDG.[MES-PDG],,,,,,,,,
,,,GA0167.PDG-CGK.[PDG-PDG],,,,,,,,,
,,,GA0449.KOE-SUB-CGK.[DPS-SUB],,,,,,,,,
,,,GA0449.KOE-SUB-CGK.[KOE-DPS],,,,,,,,,
,,,GA0449.KOE-SUB-CGK.[KOE-KOE],,,,,,,,,
,,,GA0600.CGK-MDC.[CGK-TTE],,,,,,,,,
,,,GA0600.CGK-MDC.[TTE-MDC],,,,,,,,,
,,,GA0828.CGK-SIN.[CGK-CGK],,,,,,,,,
,,,GA0829.SIN-CGK.[PLM-CGK],,,,,,,,,
,,,GA0829.SIN-CGK.[SIN-PLM],,,,,,,,,
,,,GA0829.SIN-CGK.[SIN-SIN],,,,,,,,,
,,,GA0152.CGK-BTH.[CGK-CGK],,,,,,,,,
,,,GA0426.CGK-DPS.[CGK-CGK],,,,,,,,,
,,,GA0718.DPS-MEL.[DPS-DPS],,,,,,,,,
,,,GA0227.SOC-CGK.[SOC-SOC],,,,,,,,,
,,,GA0611.UPG-CGK.[UPG-UPG],,,,,,,,,
,,,GA2384.CGK-SRG.[CGK-SRG],,,,,,,,,
,,,GA2384.CGK-SRG.[CGK-SUB],,,,,,,,,
,,,GA2384.CGK-SRG.[SUB-SRG],,,,,,,,,
,,,GA5094.PNK-CGK.[PNK-CGK],,,,,,,,,
,,,GA8671.BKK-CGK.[BKK-CGK],,,,,,,,,
,,,GA2414.SRG-CGK.[SRG-CGK],,,,,,,,,
,,,GA5004.CGK-PNK.[CGK-PNK],,,,,,,,,
,,,GA1345.PGK-CGK.[PGK-CGK],,,,,,,,,
,,,GA6213.SOQ-UPG-DPS.[SOQ-DPS],,,,,,,,,
,,,GA6213.SOQ-UPG-DPS.[SOQ-UPG],,,,,,,,,
,,,GA6213.SOQ-UPG-DPS.[UPG-DPS],,,,,,,,,
,,,GA4344.CGK-AMI.[CGK-AMI],,,,,,,,,
,,,GA4302.CGK-AMI.[CGK-AMI],,,,,,,,,
,,,GA6214.SOQ-UPG-DPS.[SOQ-DPS],,,,,,,,,
,,,GA6214.SOQ-UPG-DPS.[SOQ-UPG],,,,,,,,,
,,,GA6214.SOQ-UPG-DPS.[UPG-DPS],,,,,,,,,
,,,GA3264.CGK-SUB.[CGK-SUB],,,,,,,,,
,,,GA4354.AMI-CGK.[AMI-CGK],,,,,,,,,
,,,GA1349.PGK-CGK.[PGK-CGK],,,,,,,,,
,,,GA7014.CGK-TKG.[CGK-TKG],,,,,,,,,
,,,GA7012.CGK-TKG.[CGK-TKG],,,,,,,,,
,,,GA4331.AMI-CGK.[AMI-CGK],,,,,,,,,
,,,GA0213.YIA-CGK.[YIA-YIA],,,,,,,,,
,,,GA0232.CGK-SRG.[CGK-CGK],,,,,,,,,
,,,GA0317.SUB-CGK.[SUB-SUB],,,,,,,,,
,,,GA0430.CGK-AMI.[CGK-CGK],,,,,,,,,
,,,GA0604.CGK-UPG-KDI.[KDI-UPG],,,,,,,,,
,,,GA0656.CGK-DJJ.[BIK-DJJ],,,,,,,,,
,,,GA0656.CGK-DJJ.[CGK-BIK],,,,,,,,,
,,,GA0874.CGK-HND.[CGK-CGK],,,,,,,,,
,,,GA0717.MEL-CGK.[MEL-MEL],,,,,,,,,
,,,GA0141.BTJ-CGK.[BTJ-BTJ],,,,,,,,,
,,,GA0634.TIM-DJJ.[TIM-TIM],,,,,,,,,
,,,GA0610.CGK-UPG.[CGK-CGK],,,,,,,,,
,,,GA0960.CGK-MED.[CGK-CGK],,,,,,,,,
,,,GA7064.DPS-LBJ.[DPS-LBJ],,,,,,,,,
,,,GA0156.CGK-BTH.[CGK-CGK],,,,,,,,,
,,,GA1044.CGK-PLM.[CGK-PLM],,,,,,,,,
,,,GA7074.LBJ-DPS.[LBJ-DPS],,,,,,,,,
,,,GA6584.DJJ-MKQ.[DJJ-MKQ],,,,,,,,,
,,,GA0509.PNK-CGK.[PNK-CGK],,,,,,,,,
,,,GA0500.CGK-PNK.[CGK-PNK],,,,,,,,,
,,,GA7065.LBJ-DPS.[LBJ-DPS],,,,,,,,,
,,,GA6040.UPG-KDI.[UPG-KDI],,,,,,,,,
,,,GA2034.YIA-CGK.[YIA-CGK],,,,,,,,,
,,,GA6474.AMQ-CGK.[AMQ-CGK],,,,,,,,,
,,,GA3084.CGK-SUB.[CGK-SUB],,,,,,,,,
,,,GA3114.SUB-CGK.[SUB-CGK],,,,,,,,,
,,,GA6464.CGK-AMQ.[CGK-AMQ],,,,,,,,,
,,,GA3194.SUB-CGK.[SUB-CGK],,,,,,,,,
,,,GA6574.DJJ-CGK.[DJJ-CGK],,,,,,,,,
,,,GA2024.CGK-YIA.[CGK-YIA],,,,,,,,,
,,,GA5646.CGK-BPN.[CGK-BPN],,,,,,,,,
,,,GA7314.TKG-CGK.[TKG-CGK],,,,,,,,,
,,,GA3424.SUB-DPS.[SUB-DPS],,,,,,,,,
,,,GA7714.TKG-CGK.[TKG-CGK],,,,,,,,,
,,,GA4314.CGK-AMI.[CGK-AMI],,,,,,,,,
,,,GA8404.CGK-AMS.[CGK-AMS],,,,,,,,,
,,,GA6404.CGK-UPG.[CGK-UPG],,,,,,,,,
,,,GA7034.CGK-LBJ.[CGK-LBJ],,,,,,,,,
,,,GA1094.PLM-CGK.[PLM-CGK],,,,,,,,,
,,,GA6564.CGK-DJJ.[CGK-DJJ],,,,,,,,,
,,,GA5671.BPN-CGK.[BPN-CGK],,,,,,,,,
,,,GA6084.CGK-PLW.[CGK-PLW],,,,,,,,,
,,,GA6412.UPG-CGK.[UPG-CGK],,,,,,,,,
,,,GA6094.PLW-CGK.[PLW-CGK],,,,,,,,,
,,,GA4324.AMI-CGK.[AMI-CGK],,,,,,,,,
,,,GA7514.TKG-CGK.[TKG-CGK],,,,,,,,,
,,,GA3494.DPS-SUB.[DPS-SUB],,,,,,,,,
,,,GA5606.CGK-BPN.[CGK-BPN],,,,,,,,,
,,,GA5631.BPN-CGK.[BPN-CGK],,,,,,,,,
,,,GA7512.TKG-CGK.[TKG-CGK],,,,,,,,,
,,,GA4274.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA7054.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA6414.UPG-CGK.[UPG-CGK],,,,,,,,,
,,,GA4264.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA0185.MES-CGK.[MES-MES],,,,,,,,,
,,,GA0235.SRG-CGK.[SRG-SRG],,,,,,,,,
,,,GA0417.DPS-CGK.[DPS-DPS],,,,,,,,,
,,,GA0448.CGK-SUB-KOE.[SUB-UPG],,,,,,,,,
,,,GA0448.CGK-SUB-KOE.[UPG-KOE],,,,,,,,,
,,,GA0867.BKK-CGK.[BKK-BKK],,,,,,,,,
,,,GA0878.CGK-ICN.[CGK-CGK],,,,,,,,,
,,,GA0982.CGK-JED.[CGK-MED],,,,,,,,,
,,,GA0982.CGK-JED.[MED-JED],,,,,,,,,
,,,GA0716.CGK-MEL.[CGK-CGK],,,,,,,,,
,,,GA0554.CGK-PKY.[BDJ-PKY],,,,,,,,,
,,,GA0554.CGK-PKY.[CGK-BDJ],,,,,,,,,
,,,GA0560.CGK-BPN.[CGK-UPG],,,,,,,,,
,,,GA0560.CGK-BPN.[UPG-BPN],,,,,,,,,
,,,GA0174.CGK-PKU.[CGK-CGK],,,,,,,,,
,,,GA0689.UPG-MDC.[UPG-UPG],,,,,,,,,
,,,GA6234.PLW-CGK.[PLW-CGK],,,,,,,,,
,,,GA5672.BPN-CGK.[BPN-CGK],,,,,,,,,
,,,GA5662.CGK-BPN.[CGK-BPN],,,,,,,,,
,,,GA4524.CGK-LBJ.[CGK-LBJ],,,,,,,,,
,,,GA5642.CGK-BPN.[CGK-BPN],,,,,,,,,
,,,GA1462.CGK-BTJ.[CGK-BTJ],,,,,,,,,
,,,GA5762.CGK-BPN.[CGK-BPN],,,,,,,,,
,,,GA5612.BPN-CGK.[BPN-CGK],,,,,,,,,
,,,GA5757.BPN-CGK.[BPN-CGK],,,,,,,,,
,,,GA1412.BTJ-CGK.[BTJ-CGK],,,,,,,,,
,,,GA1404.CGK-BTJ.[CGK-BTJ],,,,,,,,,
,,,GA6224.CGK-PLW.[CGK-PLW],,,,,,,,,
,,,GA5722.CGK-BPN.[CGK-BPN],,,,,,,,,
,,,GA5722.CGK-BPN.[CGK-UPG],,,,,,,,,
,,,GA5722.CGK-BPN.[UPG-BPN],,,,,,,,,
,,,GA5726.CGK-BPN.[CGK-BPN],,,,,,,,,
,,,GA0695.UPG-KDI.[UPG-KDI],,,,,,,,,
,,,GA0696.KDI-UPG.[KDI-UPG],,,,,,,,,
,,,GA4534.LBJ-CGK.[LBJ-CGK],,,,,,,,,
,,,GA4101.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA0139.PGK-CGK.[PGK-CGK],,,,,,,,,
,,,GA0138.CGK-PGK.[CGK-PGK],,,,,,,,,
,,,GA5676.BPN-CGK.[BPN-CGK],,,,,,,,,
,,,GA1402.CGK-BTJ.[CGK-BTJ],,,,,,,,,
,,,GA1801.CGK-MES.[CGK-MES],,,,,,,,,
,,,GA4086.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA1851.MES-CGK.[MES-CGK],,,,,,,,,
,,,GA1182.CGK-MES.[CGK-MES],,,,,,,,,
,,,GA0220.CGK-SOC.[CGK-SOC],,,,,,,,,
,,,GA5654.BPN-CGK.[BPN-CGK],,,,,,,,,
,,,GA5764.CGK-BPN.[CGK-BPN],,,,,,,,,
,,,GA1821.CGK-MES.[CGK-MES],,,,,,,,,
,,,GA1212.MES-CGK.[MES-CGK],,,,,,,,,
,,,GA5714.BPN-CGK.[BPN-CGK],,,,,,,,,
,,,GA4097.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA5652.BPN-CGK.[BPN-CGK],,,,,,,,,
,,,GA1472.BTJ-CGK.[BTJ-CGK],,,,,,,,,
,,,GA5732.BPN-CGK.[BPN-CGK],,,,,,,,,
,,,GA0223.SOC-CGK.[SOC-CGK],,,,,,,,,
,,,GA5664.CGK-BPN.[CGK-BPN],,,,,,,,,
,,,GA5641.CGK-BPN.[CGK-BPN],,,,,,,,,
,,,GA4072.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA4176.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA4112.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA0608.CGK-UPG-PLW.[CGK-CGK],,,,,,,,,
,,,GA0642.CGK-UPG-GTO.[MDC-GTO],,,,,,,,,
,,,GA0642.CGK-UPG-GTO.[UPG-MDC],,,,,,,,,
,,,GA0983.JED-CGK.[JED-JED],,,,,,,,,
,,,GA0134.CGK-DJB.[CGK-PLM],,,,,,,,,
,,,GA0134.CGK-DJB.[PLM-DJB],,,,,,,,,
,,,GA0863.HKG-CGK.[HKG-HKG],,,,,,,,,
,,,GA0665.DJJ-CGK.[DJJ-UPG],,,,,,,,,
,,,GA0665.DJJ-CGK.[UPG-CGK],,,,,,,,,
,,,GA4312.AMI-DPS.[AMI-DPS],,,,,,,,,
,,,GA0576.CGK-BPN.[CGK-BPN],,,,,,,,,
,,,GA0576.CGK-BPN.[CGK-CGK],,,,,,,,,
,,,GA0561.BPN-CGK.[BPN-CGK],,,,,,,,,
,,,GA4262.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA4306.CGK-AMI.[CGK-AMI],,,,,,,,,
,,,GA4236.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA4366.DPS-AMI.[DPS-AMI],,,,,,,,,
,,,GA4336.AMI-CGK.[AMI-CGK],,,,,,,,,
,,,GA4337.AMI-DPS.[AMI-DPS],,,,,,,,,
,,,GA1414.BTJ-CGK.[BTJ-CGK],,,,,,,,,
,,,GA4316.AMI-CGK.[AMI-CGK],,,,,,,,,
,,,GA8554.SIN-CGK.[SIN-CGK],,,,,,,,,
