YEAR,PERIODE,AIRCRAFT TYPE,FLIGHT NUMBER_CITYPAIR,SERVICE TYPE,SUB-SERVICE,ROUNDTRIPROUTE,FLIGHT ROUTE,AC REG,Region,QUARTER,GA Service,AIRCRAFT TYPE GROUPING
,,,GA0253.DPS-YIA.[DPS-YIA],,,CGK-MEL-CGK,BPN-CGK,PKGPT,,,,
,,,GA0290.CGK-MLG.[CGK-MLG],,,DPS-TYO-DPS,CGK-MDC,PKGPV,,,,
,,,GA0291.MLG-CGK.[MLG-CGK],,,DPS-MEL-DPS,MDC-CGK,PKGHD,,,,
,,,GA0296.CGK-BKS.[CGK-BKS],,,CGK-AMQ-CGK,CGK-UPG-KDI,PKGIC,,,,
,,,GA0297.BKS-CGK.[BKS-CGK],,,DPS-ICN-DPS,KDI-UPG-CGK,PKGPU,,,,
,,,GA0305.SUB-CGK.[SUB-CGK],,,CGK-SHA-CGK,CGK-UPG-PLW,PKGIK,,,,
,,,GA0312.CGK-SUB.[CGK-SUB],,,SUB-SIN-SUB,PLW-UPG-CGK,PKGPX,,,,
,,,GA0317.SUB-CGK.[SUB-CGK],,,DPS-MDC-TYO-MDC-DPS,CGK-UPG,PKGIA,,,,
,,,GA0320.CGK-SUB.[CGK-SUB],,,CGK-MED-CGK,UPG-CGK,PKGII,,,,
,,,GA0322.CGK-SUB.[CGK-SUB],,,CGK-PKY-CGK,CGK-PLW,PKGIH,,,,
,,,GA0325.SUB-CGK.[SUB-CGK],,,CGK-TNJ-CGK,PLW-CGK,PKGHE,,,,
,,,GA0326.CGK-SUB.[CGK-SUB],,,CGK-HKG-CGK,CGK-UPG-GTO,PKGPF,,,,
,,,GA0327.SUB-CGK.[SUB-CGK],,,BIK-DJJ-BIK,GTO-UPG-CGK,PKGIJ,,,,
,,,GA0342.SUB-DPS.[SUB-DPS],,,CGK-MED-JED-CGK,CGK-GTO,PKGUA,,,,
,,,GA0349.DPS-SUB.[DPS-SUB],,,TIM-DJJ-TIM,GTO-CGK,PKGFR,,,,
,,,GA0400.CGK-DPS.[CGK-DPS],,,DJJ-MKQ-DJJ,CGK-TTE,PKGHF,,,,
,,,GA0401.DPS-CGK.[DPS-CGK],,,BTJ-JED-BTJ,TTE-CGK,PKGNM,,,,
,,,GA0402.CGK-DPS.[CGK-DPS],,,UPG-KDI-UPG,CGK-DJJ,PKGUF,,,,
,,,GA0403.DPS-CGK.[DPS-CGK],,,DPS-SOQ-DPS,DJJ-CGK,PKGPO,,,,
,,,GA0404.CGK-DPS.[CGK-DPS],,,CGK-DOH-CGK,CGK-SOQ,PKGUG,,,,
,,,GA0407.DPS-CGK.[DPS-CGK],,,MDC-UPG-MDC,SOQ-CGK,PKGUI,,,,
,,,GA0408.CGK-DPS.[CGK-DPS],,,CGK-SOQ-UPG-DPS,CGK-SYD,PKGUH,,,,
,,,GA0409.DPS-CGK.[DPS-CGK],,,DPS-AMI-DPS,SYD-CGK,,,,,
,,,GA0410.CGK-DPS.[CGK-DPS],,,HLP-PDG-HLP,DPS-SYD,,,,,
,,,GA0411.DPS-CGK.[DPS-CGK],,,CGK-KOE-CGK,SYD-DPS,,,,,
,,,GA0414.CGK-DPS.[CGK-DPS],,,HLP-SUB-HLP,CGK-KUL,,,,,
,,,GA0415.DPS-CGK.[DPS-CGK],,,HLP-MES-HLP,KUL-CGK,,,,,
,,,GA0417.DPS-CGK.[DPS-CGK],,,UPG-TTE-UPG,CGK-SIN,,,,,
,,,GA0419.DPS-CGK.[DPS-CGK],,,DPS-BPN-DPS,SIN-CGK,,,,,
,,,GA0420.CGK-DPS.[CGK-DPS],,,BPN-UPG-BPN,DPS-SIN,,,,,
,,,GA0422.CGK-DPS.[CGK-DPS],,,,SIN-DPS,,,,,
,,,GA0430.CGK-AMI.[CGK-AMI],,,,CGK-BKK,,,,,
,,,GA0433.AMI-CGK.[AMI-CGK],,,,BKK-CGK,,,,,
,,,GA0448.CGK-SUB-KOE.[CGK-KOE],,,,CGK-HND,,,,,
,,,GA0448.CGK-SUB-KOE.[CGK-SUB],,,,HND-CGK,,,,,
,,,GA0448.CGK-SUB-KOE.[SUB-KOE],,,,CGK-ICN,,,,,
,,,GA0449.KOE-SUB-CGK.[KOE-CGK],,,,ICN-CGK,,,,,
,,,GA0449.KOE-SUB-CGK.[KOE-SUB],,,,CGK-CAN,,,,,
,,,GA0449.KOE-SUB-CGK.[SUB-CGK],,,,CAN-CGK,,,,,
,,,GA0452.CGK-LBJ.[CGK-LBJ],,,,CGK-JED,,,,,
,,,GA0453.LBJ-CGK.[LBJ-CGK],,,,JED-CGK,,,,,
,,,GA0504.CGK-PNK.[CGK-PNK],,,,LBJ-DPS,,,,,
,,,GA0530.CGK-BDJ.[CGK-BDJ],,,,DPS-UPG,,,,,
,,,GA0533.BDJ-CGK.[BDJ-CGK],,,,SOQ-UPG-DPS,,,,,
,,,GA0535.BDJ-CGK.[BDJ-CGK],,,,CGK-MEL,,,,,
,,,GA0536.CGK-BDJ.[CGK-BDJ],,,,DPS-TYO,,,,,
,,,GA0564.CGK-BPN.[CGK-BPN],,,,TYO-DPS,,,,,
,,,GA0567.BPN-CGK.[BPN-CGK],,,,MEL-CGK,,,,,
,,,GA0572.CGK-BPN.[CGK-BPN],,,,MEL-DPS,,,,,
,,,GA0572.CGK-BPN.[CGK-CGK],,,,AMQ-CGK,,,,,
,,,GA0575.BPN-CGK.[BPN-CGK],,,,DPS-ICN,,,,,
,,,GA0600.CGK-MDC.[CGK-MDC],,,,CGK-AMQ,,,,,
,,,GA0601.MDC-CGK.[MDC-CGK],,,,ICN-DPS,,,,,
,,,GA0604.CGK-UPG-KDI.[CGK-KDI],,,,DPS-MEL,,,,,
,,,GA0604.CGK-UPG-KDI.[CGK-UPG],,,,DPS-LBJ,,,,,
,,,GA0604.CGK-UPG-KDI.[UPG-KDI],,,,SHA-CGK,,,,,
