AC REG,PERIODE,AIRCRAFT TYPE,SERVICE TYPE,ROUNDTRIPROUTE,FLIGHT ROUTE
PKGNR,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGFJ,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGNA,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGMW,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGNN,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGFQ,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGMU,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGMM,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGFV,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGMX,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGMY,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGFS,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGFH,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGNG,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGNE,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGFX,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGMC,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGUC,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGFU,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGFP,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGFQ,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGNR,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGMI,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGNA,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGUC,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGFH,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGFS,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGFP,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGFJ,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGMY,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGMM,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGMU,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGFV,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGNN,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGNE,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGNG,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGMC,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGMX,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGFU,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGMW,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGFX,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGIG,JAN,AC773,INT,CGK-AMS-CGK,CGK-AMS
PKGIF,JAN,AC773,INT,CGK-AMS-CGK,CGK-AMS
PKGIG,JAN,AC773,INT,CGK-AMS-CGK,AMS-CGK
PKGIF,JAN,AC773,INT,CGK-AMS-CGK,AMS-CGK
PKGUE,JAN,AC73G,DOM,CGK-PLM-CGK,CGK-PLM
PKGNF,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGNC,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGFS,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGNE,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGFQ,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGFU,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGNN,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGNQ,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGMA,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGNR,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGMY,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGNG,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGFW,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGMF,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGFH,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGMX,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGFJ,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGFF,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGUE,JAN,AC73G,DOM,CGK-PLM-CGK,PLM-CGK
PKGNF,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGNC,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGFS,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGNE,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGFQ,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGFU,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGNN,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGNQ,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGMA,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGNR,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGMY,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGNG,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGFW,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGMF,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGFH,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGMX,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGFJ,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGFF,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGMI,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGMV,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGUD,JAN,AC73G,DOM,CGK-PLM-CGK,CGK-PLM
PKGUC,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGMW,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGFG,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGFX,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGMC,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGMD,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGFD,JAN,AC738,DOM,CGK-PLM-CGK,CGK-PLM
PKGMI,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGMV,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGUD,JAN,AC73G,DOM,CGK-PLM-CGK,PLM-CGK
PKGUC,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGMW,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGFG,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGFX,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGMC,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGMD,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGFD,JAN,AC738,DOM,CGK-PLM-CGK,PLM-CGK
PKGNN,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGMW,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGFX,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGFU,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGUD,JAN,AC73G,DOM,CGK-MES-CGK,CGK-MES
PKGNG,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGMM,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGFH,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGUC,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGMX,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGMI,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGFP,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGNE,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGMA,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGFI,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGNA,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGFD,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGNR,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGPW,JAN,AC330,DOM,CGK-MES-CGK,CGK-MES
PKGNH,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGMC,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGFF,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGFV,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGMP,JAN,AC738,DOM,CGK-MES-CGK,CGK-MES
PKGNN,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGMW,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGFX,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGFU,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGUD,JAN,AC73G,DOM,CGK-MES-CGK,MES-CGK
PKGNG,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGMM,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGFH,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGUC,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGMX,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGMI,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGFP,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGNE,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGMA,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGFI,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGNA,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGFD,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGNR,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGPW,JAN,AC330,DOM,CGK-MES-CGK,MES-CGK
PKGNH,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGMC,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGFF,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGFV,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGMP,JAN,AC738,DOM,CGK-MES-CGK,MES-CGK
PKGFD,JAN,AC738,DOM,CGK-DJB-CGK,CGK-DJB
PKGMI,JAN,AC738,DOM,CGK-DJB-CGK,CGK-DJB
PKGMX,JAN,AC738,DOM,CGK-DJB-CGK,CGK-DJB
PKGUD,JAN,AC73G,DOM,CGK-DJB-CGK,CGK-DJB
PKGMD,JAN,AC738,DOM,CGK-DJB-CGK,CGK-DJB
PKGFI,JAN,AC738,DOM,CGK-DJB-CGK,CGK-DJB
PKGFX,JAN,AC738,DOM,CGK-DJB-CGK,CGK-DJB
PKGFH,JAN,AC738,DOM,CGK-DJB-CGK,CGK-DJB
PKGUE,JAN,AC73G,DOM,CGK-DJB-CGK,CGK-DJB
PKGFG,JAN,AC738,DOM,CGK-DJB-CGK,CGK-DJB
PKGMC,JAN,AC738,DOM,CGK-DJB-CGK,CGK-DJB
PKGNE,JAN,AC738,DOM,CGK-DJB-CGK,CGK-DJB
PKGMV,JAN,AC738,DOM,CGK-DJB-CGK,CGK-DJB
PKGMM,JAN,AC738,DOM,CGK-DJB-CGK,CGK-DJB
PKGMY,JAN,AC738,DOM,CGK-DJB-CGK,CGK-DJB
PKGNR,JAN,AC738,DOM,CGK-DJB-CGK,CGK-DJB
PKGUC,JAN,AC738,DOM,CGK-DJB-CGK,CGK-DJB
PKGFS,JAN,AC738,DOM,CGK-DJB-CGK,CGK-DJB
PKGFJ,JAN,AC738,DOM,CGK-DJB-CGK,CGK-DJB
PKGFD,JAN,AC738,DOM,CGK-DJB-CGK,DJB-CGK
PKGMI,JAN,AC738,DOM,CGK-DJB-CGK,DJB-CGK
PKGMX,JAN,AC738,DOM,CGK-DJB-CGK,DJB-CGK
PKGUD,JAN,AC73G,DOM,CGK-DJB-CGK,DJB-CGK
PKGMD,JAN,AC738,DOM,CGK-DJB-CGK,DJB-CGK
PKGFI,JAN,AC738,DOM,CGK-DJB-CGK,DJB-CGK
PKGFX,JAN,AC738,DOM,CGK-DJB-CGK,DJB-CGK
PKGFH,JAN,AC738,DOM,CGK-DJB-CGK,DJB-CGK
PKGUE,JAN,AC73G,DOM,CGK-DJB-CGK,DJB-CGK
PKGFG,JAN,AC738,DOM,CGK-DJB-CGK,DJB-CGK
PKGMC,JAN,AC738,DOM,CGK-DJB-CGK,DJB-CGK
PKGNE,JAN,AC738,DOM,CGK-DJB-CGK,DJB-CGK
PKGMV,JAN,AC738,DOM,CGK-DJB-CGK,DJB-CGK
PKGMM,JAN,AC738,DOM,CGK-DJB-CGK,DJB-CGK
PKGMY,JAN,AC738,DOM,CGK-DJB-CGK,DJB-CGK
PKGNR,JAN,AC738,DOM,CGK-DJB-CGK,DJB-CGK
PKGUC,JAN,AC738,DOM,CGK-DJB-CGK,DJB-CGK
PKGFS,JAN,AC738,DOM,CGK-DJB-CGK,DJB-CGK
PKGFJ,JAN,AC738,DOM,CGK-DJB-CGK,DJB-CGK
PKGFX,JAN,AC738,DOM,CGK-PGK-CGK,CGK-PGK
PKGFM,JAN,AC738,DOM,CGK-PGK-CGK,CGK-PGK
PKGNE,JAN,AC738,DOM,CGK-PGK-CGK,CGK-PGK
PKGNH,JAN,AC738,DOM,CGK-PGK-CGK,CGK-PGK
PKGMX,JAN,AC738,DOM,CGK-PGK-CGK,CGK-PGK
PKGUC,JAN,AC738,DOM,CGK-PGK-CGK,CGK-PGK
PKGFF,JAN,AC738,DOM,CGK-PGK-CGK,CGK-PGK
PKGFU,JAN,AC738,DOM,CGK-PGK-CGK,CGK-PGK
PKGFG,JAN,AC738,DOM,CGK-PGK-CGK,CGK-PGK
PKGFS,JAN,AC738,DOM,CGK-PGK-CGK,CGK-PGK
PKGUD,JAN,AC73G,DOM,CGK-PGK-CGK,CGK-PGK
PKGNQ,JAN,AC738,DOM,CGK-PGK-CGK,CGK-PGK
PKGMI,JAN,AC738,DOM,CGK-PGK-CGK,CGK-PGK
PKGMC,JAN,AC738,DOM,CGK-PGK-CGK,CGK-PGK
PKGFV,JAN,AC738,DOM,CGK-PGK-CGK,CGK-PGK
PKGFI,JAN,AC738,DOM,CGK-PGK-CGK,CGK-PGK
PKGNC,JAN,AC738,DOM,CGK-PGK-CGK,CGK-PGK
PKGMM,JAN,AC738,DOM,CGK-PGK-CGK,CGK-PGK
PKGMP,JAN,AC738,DOM,CGK-PGK-CGK,CGK-PGK
PKGFX,JAN,AC738,DOM,CGK-PGK-CGK,PGK-CGK
PKGFM,JAN,AC738,DOM,CGK-PGK-CGK,PGK-CGK
PKGNE,JAN,AC738,DOM,CGK-PGK-CGK,PGK-CGK
PKGNH,JAN,AC738,DOM,CGK-PGK-CGK,PGK-CGK
PKGMX,JAN,AC738,DOM,CGK-PGK-CGK,PGK-CGK
PKGUC,JAN,AC738,DOM,CGK-PGK-CGK,PGK-CGK
PKGFF,JAN,AC738,DOM,CGK-PGK-CGK,PGK-CGK
PKGFU,JAN,AC738,DOM,CGK-PGK-CGK,PGK-CGK
PKGFG,JAN,AC738,DOM,CGK-PGK-CGK,PGK-CGK
PKGFS,JAN,AC738,DOM,CGK-PGK-CGK,PGK-CGK
PKGUD,JAN,AC73G,DOM,CGK-PGK-CGK,PGK-CGK
PKGNQ,JAN,AC738,DOM,CGK-PGK-CGK,PGK-CGK
PKGMI,JAN,AC738,DOM,CGK-PGK-CGK,PGK-CGK
PKGMC,JAN,AC738,DOM,CGK-PGK-CGK,PGK-CGK
PKGFV,JAN,AC738,DOM,CGK-PGK-CGK,PGK-CGK
PKGFI,JAN,AC738,DOM,CGK-PGK-CGK,PGK-CGK
PKGNC,JAN,AC738,DOM,CGK-PGK-CGK,PGK-CGK
PKGMM,JAN,AC738,DOM,CGK-PGK-CGK,PGK-CGK
PKGMP,JAN,AC738,DOM,CGK-PGK-CGK,PGK-CGK
PKGFI,JAN,AC738,DOM,CGK-BTJ-CGK,CGK-BTJ
PKGNE,JAN,AC738,DOM,CGK-BTJ-CGK,CGK-BTJ
PKGFW,JAN,AC738,DOM,CGK-BTJ-CGK,CGK-BTJ
PKGMP,JAN,AC738,DOM,CGK-BTJ-CGK,CGK-BTJ
PKGMF,JAN,AC738,DOM,CGK-BTJ-CGK,CGK-BTJ
PKGFP,JAN,AC738,DOM,CGK-BTJ-CGK,CGK-BTJ
PKGFS,JAN,AC738,DOM,CGK-BTJ-CGK,CGK-BTJ
PKGFJ,JAN,AC738,DOM,CGK-BTJ-CGK,CGK-BTJ
PKGNR,JAN,AC738,DOM,CGK-BTJ-CGK,CGK-BTJ
PKGFM,JAN,AC738,DOM,CGK-BTJ-CGK,CGK-BTJ
PKGMM,JAN,AC738,DOM,CGK-BTJ-CGK,CGK-BTJ
PKGFH,JAN,AC738,DOM,CGK-BTJ-CGK,CGK-BTJ
PKGMW,JAN,AC738,DOM,CGK-BTJ-CGK,CGK-BTJ
PKGMX,JAN,AC738,DOM,CGK-BTJ-CGK,CGK-BTJ
PKGFU,JAN,AC738,DOM,CGK-BTJ-CGK,CGK-BTJ
PKGMY,JAN,AC738,DOM,CGK-BTJ-CGK,CGK-BTJ
PKGFD,JAN,AC738,DOM,CGK-BTJ-CGK,CGK-BTJ
PKGFX,JAN,AC738,DOM,CGK-BTJ-CGK,CGK-BTJ
PKGMC,JAN,AC738,DOM,CGK-BTJ-CGK,CGK-BTJ
PKGFI,JAN,AC738,DOM,CGK-BTJ-CGK,BTJ-CGK
PKGNE,JAN,AC738,DOM,CGK-BTJ-CGK,BTJ-CGK
PKGFW,JAN,AC738,DOM,CGK-BTJ-CGK,BTJ-CGK
PKGMP,JAN,AC738,DOM,CGK-BTJ-CGK,BTJ-CGK
PKGMF,JAN,AC738,DOM,CGK-BTJ-CGK,BTJ-CGK
PKGFP,JAN,AC738,DOM,CGK-BTJ-CGK,BTJ-CGK
PKGFS,JAN,AC738,DOM,CGK-BTJ-CGK,BTJ-CGK
PKGFJ,JAN,AC738,DOM,CGK-BTJ-CGK,BTJ-CGK
PKGNR,JAN,AC738,DOM,CGK-BTJ-CGK,BTJ-CGK
PKGFM,JAN,AC738,DOM,CGK-BTJ-CGK,BTJ-CGK
PKGMM,JAN,AC738,DOM,CGK-BTJ-CGK,BTJ-CGK
PKGFH,JAN,AC738,DOM,CGK-BTJ-CGK,BTJ-CGK
PKGMW,JAN,AC738,DOM,CGK-BTJ-CGK,BTJ-CGK
PKGMX,JAN,AC738,DOM,CGK-BTJ-CGK,BTJ-CGK
PKGFU,JAN,AC738,DOM,CGK-BTJ-CGK,BTJ-CGK
PKGMY,JAN,AC738,DOM,CGK-BTJ-CGK,BTJ-CGK
PKGFD,JAN,AC738,DOM,CGK-BTJ-CGK,BTJ-CGK
PKGFX,JAN,AC738,DOM,CGK-BTJ-CGK,BTJ-CGK
PKGMC,JAN,AC738,DOM,CGK-BTJ-CGK,BTJ-CGK
PKGNE,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGFX,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGMF,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGMX,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGFV,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGFF,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGUC,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGFG,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGFI,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGMP,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGNF,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGFQ,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGNN,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGFH,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGNG,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGMA,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGMC,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGFP,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGMI,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGFD,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGNE,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGFX,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGMF,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGMX,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGFV,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGFF,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGUC,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGFG,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGFI,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGMP,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGNF,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGFQ,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGNN,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGFH,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGNG,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGMA,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGMC,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGFP,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGMI,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGFD,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
PKGMF,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGNH,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGFD,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGFP,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGMM,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGUC,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGFF,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGMI,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGFX,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGUE,JAN,AC73G,DOM,CGK-BTH-CGK,CGK-BTH
PKGNR,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGFQ,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGPE,JAN,AC33R,DOM,CGK-BTH-CGK,CGK-BTH
PKGFW,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGFI,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGNQ,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGMC,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGHC,JAN,AC334,DOM,CGK-BTH-CGK,CGK-BTH
PKGMD,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGMY,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGNF,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGNE,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGFU,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGUD,JAN,AC73G,DOM,CGK-BTH-CGK,CGK-BTH
PKGPM,JAN,AC32E,DOM,CGK-BTH-CGK,CGK-BTH
PKGMV,JAN,AC738,DOM,CGK-BTH-CGK,CGK-BTH
PKGMF,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGNH,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGFD,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGFP,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGMM,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGUC,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGFF,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGMI,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGFX,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGUE,JAN,AC73G,DOM,CGK-BTH-CGK,BTH-CGK
PKGNR,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGFQ,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGPE,JAN,AC33R,DOM,CGK-BTH-CGK,BTH-CGK
PKGFW,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGFI,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGNQ,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGMC,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGHC,JAN,AC334,DOM,CGK-BTH-CGK,BTH-CGK
PKGMD,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGMY,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGNF,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGNE,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGFU,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGUD,JAN,AC73G,DOM,CGK-BTH-CGK,BTH-CGK
PKGPM,JAN,AC32E,DOM,CGK-BTH-CGK,BTH-CGK
PKGMV,JAN,AC738,DOM,CGK-BTH-CGK,BTH-CGK
PKGUD,JAN,AC73G,DOM,CGK-PDG-CGK,CGK-PDG
PKGFJ,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGNH,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGNR,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGMW,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGFM,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGMU,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGFW,JAN,AC738,DOM,CGK-PDG-CGK,CGK-PDG
PKGNR,JAN,AC738,DOM,CGK-PDG-CGK,PDG-CGK
